,num_female,num_male,num_other,num_unknown,num_total,ratio_female,male_female_difference,new_male_female_difference_Random,new_male_female_difference_MostPop,new_male_female_difference_UserKNN,new_male_female_difference_MF,new_male_female_difference_PMF,new_male_female_difference_BPR,new_male_female_difference_NMF,new_male_female_difference_WMF,new_male_female_difference_PF,new_male_female_difference_NeuMF,new_male_female_difference_VAECF
274656,7,3,0,1,11,0.6363636363636364,-0.3636363636363636,-0.4,-0.4,-0.2,0.0,0.0,-0.4,0.1,-0.4,0.0,-0.4,-0.4
248615,6,2,0,3,11,0.5454545454545454,-0.3636363636363636,0.4,-0.4,0.3,-0.2,0.6,-0.2,-0.1,-0.6,0.0,-0.4,-1.0
92132,7,3,0,1,11,0.6363636363636364,-0.3636363636363636,-0.1,-0.4,0.2,0.3,0.2,-0.4,-0.3,-0.9,0.6,-0.4,-1.0
199025,7,3,0,1,11,0.6363636363636364,-0.3636363636363636,-0.1,-0.4,-0.5,0.5,0.4,-0.2,0.3,-0.1,0.0,-0.4,-0.6
152354,7,3,0,1,11,0.6363636363636364,-0.3636363636363636,0.0,-0.4,0.2,0.3,0.2,-0.4,-0.2,-0.2,0.0,-0.4,0.4
246156,13,5,1,3,22,0.5909090909090909,-0.3636363636363636,-0.6,-0.4,-0.4,0.3,0.2,-0.4,-0.3,0.0,0.0,-0.4,-0.8
123649,7,3,0,1,11,0.6363636363636364,-0.3636363636363636,-0.4,-0.4,-0.6,0.0,0.3,-0.4,0.5,0.2,-0.4,-0.4,-0.8
36299,21,9,0,3,33,0.6363636363636364,-0.3636363636363636,0.3,-0.4,-0.8,0.2,0.2,-0.4,0.4,-0.8,0.2,-0.4,-1.0
53590,9,4,0,1,14,0.6428571428571429,-0.3571428571428571,-0.1,-0.4,-0.6,0.4,0.2,-0.2,0.5,0.0,-0.2,-0.4,-0.6
243236,19,9,0,0,28,0.6785714285714286,-0.3571428571428571,0.4,-0.4,-0.2,0.2,0.2,-0.4,0.1,0.0,-0.6,-0.4,-0.2
201641,9,4,0,1,14,0.6428571428571429,-0.3571428571428571,0.4,-0.4,-0.4,0.6,0.4,-0.4,0.4,-0.4,-0.2,-0.4,-0.2
13582,19,9,0,0,28,0.6785714285714286,-0.3571428571428571,0.0,-0.4,-0.2,0.3,0.4,-0.2,0.1,-0.2,-0.4,-0.4,-0.4
55927,19,9,0,0,28,0.6785714285714286,-0.3571428571428571,-0.1,-0.4,0.0,0.4,0.6,-0.4,0.5,0.2,-0.4,-0.4,-0.6
97694,9,4,0,1,14,0.6428571428571429,-0.3571428571428571,0.4,-0.4,-0.4,0.2,0.2,-0.4,0.5,-0.4,-0.2,-0.4,-0.6
41757,9,4,0,1,14,0.6428571428571429,-0.3571428571428571,0.1,-0.4,-0.6,-0.4,0.0,-0.4,-0.2,0.6,-0.2,-0.4,1.0
167678,7,2,0,5,14,0.5,-0.3571428571428571,-0.3,-0.4,-0.2,0.1,0.2,-0.4,0.0,-0.8,0.2,-0.4,0.4
264031,48,22,0,3,73,0.6575342465753424,-0.3561643835616438,0.2,-0.4,-0.6,-0.2,0.4,-0.4,0.4,-0.4,0.0,-0.4,-0.6
264862,11,5,0,1,17,0.6470588235294118,-0.3529411764705882,0.0,-0.4,-0.6,0.5,0.2,-0.4,0.7,0.0,-0.4,-0.4,-0.4
238699,11,5,0,1,17,0.6470588235294118,-0.3529411764705882,0.4,-0.4,-0.2,0.1,0.2,-0.2,0.2,0.2,0.2,-0.4,-0.8
145619,11,5,0,1,17,0.6470588235294118,-0.3529411764705882,0.4,-0.4,-0.4,0.2,0.2,-0.4,0.0,-0.2,0.2,-0.4,-0.9
48743,11,5,0,1,17,0.6470588235294118,-0.3529411764705882,-0.2,-0.4,-0.2,0.4,0.2,-0.2,0.2,0.2,0.0,-0.4,-0.2
239594,38,18,0,1,57,0.6666666666666666,-0.3508771929824561,0.1,-0.4,-0.4,0.4,0.4,-0.4,0.4,0.0,0.2,-0.4,0.8
31393,29,14,0,0,43,0.6744186046511628,-0.3488372093023256,0.3,-0.4,-0.2,0.6,0.2,-0.2,0.1,-0.6,-0.6,-0.4,-0.4
78783,43,19,0,7,69,0.6231884057971014,-0.3478260869565217,0.2,-0.4,0.0,0.6,0.4,-0.4,0.3,0.0,-0.4,-0.4,-0.6
16966,14,6,0,3,23,0.6086956521739131,-0.3478260869565217,0.3,-0.4,-0.6,-0.1,0.2,-0.4,0.0,0.2,0.0,-0.4,0.0
86189,33,16,0,0,49,0.673469387755102,-0.3469387755102041,-0.2,-0.4,0.2,0.2,1.0,-0.2,0.3,0.0,0.0,-0.4,-0.6
187065,17,8,0,1,26,0.6538461538461539,-0.3461538461538461,-0.3,-0.4,-0.6,0.6,0.2,-0.4,0.4,-0.8,-0.4,-0.4,-0.8
264543,21,10,0,1,32,0.65625,-0.34375,-0.2,-0.4,-0.4,-0.6,0.4,-0.4,0.0,-0.2,-0.2,-0.4,-0.2
20180,21,10,1,0,32,0.65625,-0.34375,0.0,-0.4,-0.4,0.1,0.2,-0.4,0.4,-0.2,-0.2,-0.4,0.0
134797,29,14,0,1,44,0.6590909090909091,-0.3409090909090909,-0.4,-0.4,0.4,0.2,0.4,-0.4,0.4,0.2,0.4,-0.4,-0.7
224430,31,15,0,1,47,0.6595744680851063,-0.3404255319148936,0.1,-0.4,-0.2,-0.2,0.1,-0.4,0.1,-0.6,-0.6,-0.4,-0.8
181687,33,16,0,1,50,0.66,-0.34,-0.2,-0.4,-0.4,0.4,0.2,-0.2,0.6,-0.4,-0.2,-0.4,-0.8
29526,34,16,0,3,53,0.6415094339622641,-0.3396226415094339,0.0,-0.4,-1.0,0.6,0.2,-0.4,0.4,-0.2,-0.4,-0.4,-0.8
83671,35,17,0,1,53,0.660377358490566,-0.3396226415094339,0.1,-0.4,-1.0,0.1,0.4,-0.4,-0.2,-0.8,-0.2,-0.4,-0.8
277959,3,1,0,2,6,0.5,-0.3333333333333333,-0.1,-0.4,-0.1,-0.1,0.4,-0.4,0.5,-0.4,0.4,-0.4,-0.2
66533,4,2,0,0,6,0.6666666666666666,-0.3333333333333333,0.5,-0.4,-0.6,0.6,0.4,-0.4,0.4,0.4,0.0,-0.4,-0.4
247966,4,2,0,0,6,0.6666666666666666,-0.3333333333333333,0.1,-0.4,-0.8,0.1,0.4,-0.4,-0.1,-1.0,-0.6,-0.4,-1.0
120610,4,2,0,0,6,0.6666666666666666,-0.3333333333333333,0.0,-0.4,-0.4,0.1,0.4,-0.4,0.4,0.2,0.0,-0.4,0.0
201792,4,2,0,0,6,0.6666666666666666,-0.3333333333333333,0.2,-0.4,0.0,0.1,0.2,-0.4,0.5,-0.2,0.4,-0.4,0.0
259223,4,2,0,0,6,0.6666666666666666,-0.3333333333333333,0.3,-0.4,0.2,0.1,0.2,-0.4,0.2,-0.2,0.6,-0.4,0.8
69790,4,2,0,0,6,0.6666666666666666,-0.3333333333333333,0.2,-0.4,-0.6,0.5,0.4,-0.4,0.4,-0.4,-0.2,-0.4,-0.4
13551,6,3,0,0,9,0.6666666666666666,-0.3333333333333333,-0.2,-0.4,-0.2,0.4,0.2,-0.4,-0.3,-0.6,-0.2,-0.4,-0.4
236349,4,2,0,0,6,0.6666666666666666,-0.3333333333333333,0.2,-0.4,-0.4,0.3,0.4,-0.2,0.0,-0.8,0.5,-0.4,-0.6
69749,4,2,0,0,6,0.6666666666666666,-0.3333333333333333,0.4,-0.4,-0.6,0.4,0.4,-0.4,0.6,-0.2,0.2,-0.4,0.4
31714,4,2,0,0,6,0.6666666666666666,-0.3333333333333333,-0.1,-0.4,-0.2,0.4,0.2,-0.2,-0.1,0.8,-0.4,-0.4,1.0
25930,7,3,0,2,12,0.5833333333333334,-0.3333333333333333,-0.3,-0.4,-0.6,0.0,0.2,-0.2,0.2,-0.5,0.0,-0.4,-0.4
16155,5,2,0,2,9,0.5555555555555556,-0.3333333333333333,-0.3,-0.4,-0.8,0.0,0.2,-0.4,0.2,-0.2,-0.4,-0.4,-0.2
119806,4,2,0,0,6,0.6666666666666666,-0.3333333333333333,0.3,-0.4,-0.8,0.0,0.4,-0.4,0.0,0.0,0.6,-0.4,-0.2
120345,4,2,0,0,6,0.6666666666666666,-0.3333333333333333,-0.1,-0.4,-0.8,0.2,0.0,-0.4,0.4,-0.4,0.2,-0.4,0.0
247855,4,2,0,0,6,0.6666666666666666,-0.3333333333333333,0.0,-0.4,-0.2,0.4,0.2,-0.2,-0.1,-0.2,-0.4,-0.4,-0.4
243584,4,2,0,0,6,0.6666666666666666,-0.3333333333333333,-0.1,-0.4,0.0,0.7,0.2,-0.4,0.3,0.0,0.2,-0.4,0.8
202346,4,2,0,0,6,0.6666666666666666,-0.3333333333333333,0.2,-0.4,0.0,0.2,0.4,-0.4,0.7,0.8,-0.4,-0.4,0.0
199041,14,7,0,0,21,0.6666666666666666,-0.3333333333333333,0.3,-0.4,-0.6,0.2,0.4,-0.4,0.7,-0.2,0.0,-0.4,0.2
16721,4,2,0,0,6,0.6666666666666666,-0.3333333333333333,0.0,-0.4,-0.4,0.4,0.4,-0.4,0.1,-0.3,0.5,-0.4,-0.8
125217,6,3,0,0,9,0.6666666666666666,-0.3333333333333333,0.1,-0.4,0.0,0.1,0.2,-0.4,0.4,-0.6,0.2,-0.4,-0.2
30645,4,2,0,0,6,0.6666666666666666,-0.3333333333333333,-0.1,-0.4,0.2,0.0,0.4,-0.4,0.6,0.0,0.2,-0.4,0.2
17183,8,4,0,0,12,0.6666666666666666,-0.3333333333333333,0.0,-0.4,-0.4,0.2,0.6,-0.4,0.2,-0.6,-0.6,-0.4,-0.2
163443,4,2,0,0,6,0.6666666666666666,-0.3333333333333333,0.1,-0.4,-0.6,0.1,0.4,-0.4,-0.1,0.8,0.6,-0.4,0.8
177237,4,2,0,0,6,0.6666666666666666,-0.3333333333333333,-0.4,-0.4,-0.4,0.3,0.4,-0.4,0.5,0.4,0.2,-0.4,0.6
163433,6,3,0,0,9,0.6666666666666666,-0.3333333333333333,0.1,-0.4,-0.6,0.6,0.2,-0.4,0.4,0.2,0.6,-0.4,-0.2
134863,4,2,0,0,6,0.6666666666666666,-0.3333333333333333,0.1,-0.4,0.6,0.4,0.4,-0.4,0.6,0.0,-0.4,-0.4,0.8
273071,4,2,0,0,6,0.6666666666666666,-0.3333333333333333,0.1,-0.4,-0.6,0.3,0.3,-0.4,0.3,-0.2,-0.2,-0.4,-0.4
245281,4,2,0,0,6,0.6666666666666666,-0.3333333333333333,0.4,-0.4,-0.4,0.4,0.1,-0.2,0.3,-0.6,0.2,-0.4,0.8
100903,4,2,0,0,6,0.6666666666666666,-0.3333333333333333,0.6,-0.4,-0.6,0.6,0.2,-0.4,0.4,0.2,-0.2,-0.4,0.4
264349,4,2,0,0,6,0.6666666666666666,-0.3333333333333333,0.2,-0.4,-0.8,0.0,0.2,-0.4,0.1,-0.8,-0.2,-0.4,-0.4
175052,23,11,0,2,36,0.6388888888888888,-0.3333333333333333,0.4,-0.4,-0.6,0.0,0.4,-0.4,0.3,0.0,0.0,-0.4,0.2
168387,8,4,0,0,12,0.6666666666666666,-0.3333333333333333,-0.2,-0.4,0.0,-0.3,0.2,-0.4,0.5,0.2,-0.2,-0.4,-0.6
78841,6,3,0,0,9,0.6666666666666666,-0.3333333333333333,-0.4,-0.4,-0.2,0.3,0.2,-0.4,0.5,0.0,-0.4,-0.4,0.0
141888,4,2,0,0,6,0.6666666666666666,-0.3333333333333333,0.0,-0.4,-0.4,-0.3,0.2,-0.4,0.4,-0.8,-0.4,-0.4,-0.2
95316,17,8,0,2,27,0.6296296296296297,-0.3333333333333333,0.5,-0.4,-0.2,0.1,0.0,-0.4,0.0,0.8,0.0,-0.4,0.0
122802,4,2,0,0,6,0.6666666666666666,-0.3333333333333333,-0.8,-0.4,-0.6,0.4,0.2,-0.4,-0.2,-0.2,0.0,-0.4,-0.8
