,num_female,num_male,num_other,num_unknown,num_total,ratio_female,male_female_difference,new_male_female_difference_Random,new_male_female_difference_MostPop,new_male_female_difference_UserKNN,new_male_female_difference_MF,new_male_female_difference_PMF,new_male_female_difference_BPR,new_male_female_difference_NMF,new_male_female_difference_WMF,new_male_female_difference_PF,new_male_female_difference_NeuMF,new_male_female_difference_VAECF
60211,5,0,0,0,5,1.0,-1.0,0.0,-0.4,-0.8,0.2,0.0,-0.2,0.0,-0.2,0.0,-0.4,-0.4
208683,12,0,0,0,12,1.0,-1.0,-0.2,-0.4,-1.0,-0.2,-0.2,-0.4,0.0,-0.8,-0.6,-0.4,0.6
59895,4,0,0,0,4,1.0,-1.0,-0.4,-0.4,-0.4,0.0,0.4,-0.4,0.2,-0.2,-0.4,-0.4,-0.4
227054,8,0,0,0,8,1.0,-1.0,-0.2,-0.4,-1.0,0.0,0.2,-0.4,0.0,-1.0,-0.6,-0.4,0.8
44611,9,0,0,0,9,1.0,-1.0,-0.3,-0.4,-0.8,0.3,0.4,-0.4,0.4,-0.2,0.0,-0.4,0.2
44295,6,0,0,0,6,1.0,-1.0,0.2,-0.4,-1.0,-0.1,0.4,-0.4,0.3,-0.4,0.2,-0.4,0.4
228154,14,0,0,0,14,1.0,-1.0,0.2,-0.4,-1.0,-0.1,0.4,-0.4,0.1,-1.0,-0.6,-0.4,-1.0
29867,5,0,0,0,5,1.0,-1.0,0.0,-0.4,-0.4,0.1,0.4,-0.4,0.6,-1.0,-0.2,-0.4,-1.0
29306,5,0,0,0,5,1.0,-1.0,-0.1,-0.4,-1.0,-0.1,0.4,-0.4,0.6,-0.9,-0.4,-0.4,0.8
244456,6,0,0,0,6,1.0,-1.0,-0.2,-0.4,-0.6,0.3,0.4,-0.4,0.6,-0.4,0.0,-0.4,-0.8
9574,6,0,0,0,6,1.0,-1.0,-0.1,-0.4,-1.0,0.0,0.4,-0.2,0.3,-1.0,-0.2,-0.4,-0.6
244494,6,0,0,0,6,1.0,-1.0,0.2,-0.4,-0.6,0.3,0.4,-0.4,-0.5,-0.4,-0.2,-0.4,-0.6
28451,20,0,0,0,20,1.0,-1.0,0.3,-0.4,-1.0,0.2,0.0,-0.4,0.2,-1.0,-0.6,-0.4,-1.0
27573,1,0,0,0,1,1.0,-1.0,0.6,-0.4,-0.6,0.1,0.4,-0.4,0.4,0.2,0.6,-0.4,0.0
27265,5,0,0,0,5,1.0,-1.0,0.1,-0.4,-0.8,-0.1,0.4,-0.2,-0.2,-0.4,0.0,-0.4,-0.4
27169,8,0,0,0,8,1.0,-1.0,0.5,-0.4,-0.4,0.3,0.4,-0.4,0.5,-0.6,0.5,-0.4,-1.0
246820,8,0,0,0,8,1.0,-1.0,0.2,-0.4,-0.6,0.1,0.4,-0.2,0.6,0.0,0.4,-0.4,-0.4
249634,5,0,0,0,5,1.0,-1.0,0.2,-0.4,-0.8,0.1,-0.6,-0.4,0.8,-0.8,0.6,-0.4,-0.2
21903,8,0,0,0,8,1.0,-1.0,-0.2,-0.4,-0.8,0.5,-0.2,-0.4,0.2,-0.2,0.2,-0.4,0.0
20347,6,0,0,0,6,1.0,-1.0,0.4,-0.4,-1.0,-0.1,0.4,-0.4,0.2,-0.8,0.0,-0.4,-0.2
20115,5,0,0,0,5,1.0,-1.0,-0.4,-0.4,-0.8,-0.2,0.4,-0.4,0.2,-0.6,-0.2,-0.4,0.6
253867,7,0,0,0,7,1.0,-1.0,0.1,-0.4,-1.0,0.2,0.0,-0.4,0.2,-1.0,0.0,-0.4,-1.0
19429,8,0,0,0,8,1.0,-1.0,0.4,-0.4,-1.0,0.4,0.4,-0.2,0.3,-0.6,-0.6,-0.4,0.2
254777,5,0,0,0,5,1.0,-1.0,-0.2,-0.4,-1.0,0.0,0.4,-0.4,0.2,0.4,-0.6,-0.4,-0.4
254863,7,0,0,0,7,1.0,-1.0,0.1,-0.4,-0.4,0.0,0.4,-0.4,0.1,-1.0,0.2,-0.4,-0.8
17596,1,0,0,0,1,1.0,-1.0,-0.1,-0.4,-0.4,-0.1,0.2,-0.4,0.2,0.5,0.6,-0.4,-0.4
16908,9,0,0,0,9,1.0,-1.0,-0.3,-0.4,-1.0,0.2,-1.0,-0.4,0.2,-0.8,-0.4,-0.4,-1.0
257703,5,0,0,0,5,1.0,-1.0,-0.3,-0.4,-0.8,0.3,0.0,-0.4,-0.4,-0.6,0.0,-0.4,-0.6
258107,6,0,0,0,6,1.0,-1.0,-0.2,-0.4,-0.8,0.4,0.4,-0.2,0.5,-0.6,0.0,-0.4,0.6
260363,8,0,0,0,8,1.0,-1.0,-0.2,-0.4,-1.0,0.1,0.4,-0.4,0.4,-1.0,-0.6,-0.4,-1.0
11070,5,0,0,0,5,1.0,-1.0,0.1,-0.4,-0.4,0.5,0.2,-0.4,0.1,-0.4,-0.5,-0.4,-0.6
14271,5,0,0,0,5,1.0,-1.0,0.0,-0.4,-0.4,0.2,0.1,-0.2,-0.3,-1.0,0.4,-0.4,-0.4
13733,5,0,0,0,5,1.0,-1.0,-0.2,-0.4,-1.0,-0.1,0.4,-0.2,0.4,0.0,-0.2,-0.4,0.8
261578,8,0,0,0,8,1.0,-1.0,0.2,-0.4,-1.0,0.2,0.4,-0.4,0.4,-0.8,-0.4,-0.4,-0.8
243785,10,0,0,0,10,1.0,-1.0,0.0,-0.4,-1.0,0.3,0.6,-0.4,0.0,-0.8,0.4,-0.4,-0.2
194639,5,0,0,0,5,1.0,-1.0,0.0,-0.4,-0.6,0.2,0.4,-0.4,0.2,0.0,0.0,-0.4,-0.4
243607,6,0,0,0,6,1.0,-1.0,0.2,-0.4,-0.6,0.2,0.2,-0.4,-0.1,-0.2,-0.6,-0.4,-0.4
31144,6,0,0,0,6,1.0,-1.0,0.6,-0.4,-0.8,0.1,0.4,-0.4,0.1,0.0,-0.8,-0.4,0.8
42798,5,0,0,0,5,1.0,-1.0,0.1,-0.4,-0.4,-0.2,0.0,-0.4,-0.1,-0.4,0.2,-0.4,0.2
42780,6,0,0,0,6,1.0,-1.0,-0.1,-0.4,-1.0,-0.2,0.2,-0.4,0.4,-0.6,0.0,-0.4,-0.8
41088,5,0,0,0,5,1.0,-1.0,0.0,-0.4,-0.8,-0.1,0.4,-0.2,0.0,-1.0,-0.2,-0.4,-1.0
40612,9,0,0,0,9,1.0,-1.0,0.0,-0.4,-0.8,0.6,0.2,-0.2,0.6,-0.4,0.0,-0.4,0.4
40553,5,0,0,0,5,1.0,-1.0,0.2,-0.4,-0.2,0.2,0.4,-0.2,0.6,-0.4,-0.2,-0.4,0.0
40511,7,0,0,0,7,1.0,-1.0,0.1,-0.4,-0.4,0.2,0.0,-0.4,-0.1,-0.7,-0.4,-0.4,-0.8
40110,6,0,0,0,6,1.0,-1.0,-0.2,-0.4,-1.0,0.4,0.2,-0.4,-0.3,-0.4,0.2,-0.4,0.4
39928,5,0,0,0,5,1.0,-1.0,0.2,-0.4,-0.8,0.1,0.2,-0.4,0.0,-0.4,0.2,-0.4,0.2
233117,8,0,0,0,8,1.0,-1.0,0.3,-0.4,-0.6,0.0,0.4,-0.4,0.4,-0.4,0.0,-0.4,-0.4
38590,8,0,0,0,8,1.0,-1.0,0.4,-0.4,-0.8,0.2,0.4,-0.4,0.5,-0.4,-0.2,-0.4,-0.6
234023,12,0,0,0,12,1.0,-1.0,0.1,-0.4,-1.0,0.2,0.4,-0.4,0.1,-1.0,0.8,-0.4,-1.0
234614,5,0,0,0,5,1.0,-1.0,0.1,-0.4,-0.6,0.2,0.4,-0.4,0.1,0.1,-0.4,-0.4,-1.0
234901,5,0,0,0,5,1.0,-1.0,0.0,-0.4,-0.6,0.0,0.2,-0.4,-0.1,-0.2,0.0,-0.4,-0.8
235206,5,0,0,0,5,1.0,-1.0,-0.4,-0.4,-0.6,-0.1,0.4,-0.4,0.6,-0.6,0.2,-0.4,-0.6
37691,5,0,0,0,5,1.0,-1.0,-0.1,-0.4,-0.2,0.5,0.2,-0.4,0.5,-0.6,-0.2,-0.4,-0.4
36938,8,0,0,0,8,1.0,-1.0,0.3,-0.4,-0.8,0.2,0.2,-0.4,0.6,-0.4,-0.4,-0.4,-0.2
238319,7,0,0,0,7,1.0,-1.0,-0.6,-0.4,-1.0,0.3,0.2,-0.4,-0.4,0.6,-0.2,-0.4,-0.6
238757,5,0,0,0,5,1.0,-1.0,0.5,-0.4,-1.0,0.1,-0.4,-0.4,0.4,-1.0,-0.6,-0.4,-1.0
35030,6,0,0,0,6,1.0,-1.0,0.3,-0.4,-0.6,0.1,0.4,-0.4,0.4,-0.2,0.0,-0.4,-1.0
34987,9,0,0,0,9,1.0,-1.0,0.2,-0.4,-0.8,-0.1,0.2,-0.4,0.0,-0.9,-0.2,-0.4,-0.2
