,num_USA,num_rest,num_total,ratio_USA,new_ratio_USA_Random,new_ratio_USA_MostPop,new_ratio_USA_UserKNN,new_ratio_USA_MF,new_ratio_USA_PMF,new_ratio_USA_BPR,new_ratio_USA_NMF,new_ratio_USA_WMF,new_ratio_USA_PF,new_ratio_USA_NeuMF,new_ratio_USA_VAECF
275318,0,8,8,0.0,0.62,0.77,0.58,0.47,0.72,0.76,0.53,0.46,0.68,0.75,0.59
94023,1,13,14,0.0714285714285714,0.57,0.77,0.38,0.48,0.49,0.76,0.52,0.23,0.24,0.75,0.32
266866,2,25,27,0.074074074074074,0.7,0.77,0.26,0.65,0.62,0.76,0.62,0.31,0.23,0.75,0.36
89207,1,12,13,0.0769230769230769,0.68,0.77,0.31,0.5,0.53,0.76,0.58,0.34,0.23,0.75,0.36
26145,1,12,13,0.0769230769230769,0.69,0.77,0.56,0.52,0.62,0.76,0.56,0.54,0.76,0.75,0.64
70703,1,12,13,0.0769230769230769,0.7,0.77,0.36,0.53,0.72,0.76,0.58,0.5,0.6,0.75,0.15
62303,1,11,12,0.0833333333333333,0.63,0.77,0.43,0.56,0.54,0.76,0.6,0.46,0.84,0.75,0.12
263107,1,11,12,0.0833333333333333,0.7,0.77,0.53,0.47,0.54,0.76,0.54,0.66,0.69,0.75,0.77
172180,1,10,11,0.0909090909090909,0.67,0.77,0.25,0.58,0.51,0.76,0.7,0.25,0.23,0.75,0.38
11916,1,10,11,0.0909090909090909,0.65,0.77,0.63,0.53,0.59,0.76,0.6,0.64,0.78,0.75,0.6
135681,1,9,10,0.1,0.73,0.77,0.62,0.48,0.52,0.76,0.61,0.59,0.61,0.75,0.19
246798,1,9,10,0.1,0.63,0.77,0.52,0.54,0.52,0.76,0.64,0.66,0.54,0.75,0.32
137190,2,16,18,0.1111111111111111,0.7,0.77,0.54,0.47,0.57,0.76,0.54,0.45,0.59,0.75,0.21
95525,1,8,9,0.1111111111111111,0.72,0.77,0.56,0.49,0.54,0.76,0.58,0.54,0.25,0.75,0.22
172216,1,8,9,0.1111111111111111,0.71,0.77,0.55,0.52,0.53,0.76,0.54,0.49,0.65,0.75,0.55
93130,1,8,9,0.1111111111111111,0.8,0.77,0.57,0.54,0.72,0.76,0.61,0.64,0.57,0.75,0.69
81249,1,8,9,0.1111111111111111,0.6,0.77,0.57,0.51,0.58,0.76,0.51,0.62,0.58,0.75,0.73
131099,1,8,9,0.1111111111111111,0.78,0.77,0.26,0.54,0.6,0.76,0.56,0.29,0.42,0.75,0.29
105476,1,7,8,0.125,0.0,0.77,0.37,0.52,0.56,0.76,0.54,0.38,0.72,0.75,0.56
208410,1,7,8,0.125,0.68,0.77,0.23,0.52,0.59,0.76,0.53,0.38,0.23,0.75,0.17
261578,1,7,8,0.125,0.63,0.77,0.55,0.54,0.73,0.76,0.59,0.43,0.72,0.75,0.5
185771,1,7,8,0.125,0.73,0.77,0.66,0.52,0.58,0.76,0.53,0.65,0.74,0.75,0.8
199178,1,7,8,0.125,0.64,0.77,0.66,0.5,0.51,0.76,0.54,0.53,0.75,0.75,0.63
129393,1,7,8,0.125,0.73,0.77,0.46,0.53,0.55,0.76,0.63,0.52,0.62,0.75,0.48
31681,1,7,8,0.125,0.68,0.77,0.42,0.51,0.58,0.76,0.57,0.51,0.76,0.75,0.16
40640,1,7,8,0.125,0.71,0.77,0.52,0.46,0.57,0.76,0.55,0.41,0.28,0.75,0.48
150663,2,13,15,0.1333333333333333,0.69,0.77,0.55,0.51,0.6,0.76,0.55,0.68,0.72,0.75,0.58
127131,2,13,15,0.1333333333333333,0.68,0.77,0.6,0.49,0.57,0.76,0.51,0.61,0.69,0.75,0.39
78901,1,6,7,0.1428571428571428,0.57,0.77,0.47,0.52,0.66,0.76,0.48,0.36,0.68,0.75,0.5
114581,2,12,14,0.1428571428571428,0.71,0.77,0.67,0.53,0.68,0.76,0.52,0.66,0.72,0.75,0.78
200585,1,6,7,0.1428571428571428,0.7,0.77,0.48,0.51,0.49,0.76,0.65,0.44,0.23,0.75,0.45
22464,1,6,7,0.1428571428571428,0.63,0.77,0.6,0.49,0.52,0.76,0.52,0.56,0.73,0.75,0.57
220867,1,6,7,0.1428571428571428,0.7,0.77,0.65,0.54,0.56,0.76,0.65,0.76,0.72,0.75,0.27
22773,1,6,7,0.1428571428571428,0.78,0.77,0.66,0.51,0.63,0.76,0.55,0.67,0.65,0.75,0.79
28150,1,6,7,0.1428571428571428,0.68,0.77,0.66,0.52,0.51,0.76,0.58,0.63,0.69,0.75,0.58
147803,1,6,7,0.1428571428571428,0.74,0.77,0.67,0.53,0.59,0.76,0.51,0.71,0.3,0.75,0.29
213638,1,6,7,0.1428571428571428,0.65,0.77,0.67,0.5,0.53,0.76,0.55,0.67,0.74,0.75,0.76
243058,3,17,20,0.15,0.75,0.77,0.48,0.56,0.47,0.76,0.52,0.47,0.63,0.75,0.61
240333,2,11,13,0.1538461538461538,0.65,0.77,0.66,0.5,0.6,0.76,0.63,0.58,0.34,0.75,0.53
114306,1,5,6,0.1666666666666666,0.69,0.77,0.62,0.58,0.5,0.76,0.53,0.59,0.58,0.75,0.47
272810,1,5,6,0.1666666666666666,0.73,0.77,0.61,0.51,0.62,0.76,0.51,0.58,0.64,0.75,0.71
152483,1,5,6,0.1666666666666666,0.7,0.77,0.57,0.5,0.64,0.76,0.59,0.45,0.59,0.75,0.55
106893,2,10,12,0.1666666666666666,0.63,0.77,0.52,0.62,0.61,0.76,0.66,0.51,0.45,0.75,0.23
10241,1,5,6,0.1666666666666666,0.66,0.77,0.56,0.47,0.63,0.76,0.65,0.51,0.85,0.75,0.52
171389,1,5,6,0.1666666666666666,0.71,0.77,0.69,0.59,0.69,0.76,0.6,0.49,0.26,0.75,0.48
209765,1,5,6,0.1666666666666666,0.69,0.77,0.6,0.45,0.53,0.76,0.51,0.49,0.73,0.75,0.73
219597,1,5,6,0.1666666666666666,0.74,0.77,0.71,0.57,0.64,0.76,0.55,0.65,0.76,0.75,0.75
138124,1,5,6,0.1666666666666666,0.63,0.77,0.44,0.51,0.74,0.76,0.63,0.66,0.61,0.75,0.22
16383,1,5,6,0.1666666666666666,0.63,0.77,0.39,0.63,0.61,0.76,0.61,0.41,0.73,0.75,0.23
111634,1,5,6,0.1666666666666666,0.75,0.77,0.56,0.57,0.56,0.76,0.63,0.62,0.68,0.75,0.86
42408,1,5,6,0.1666666666666666,0.8,0.77,0.67,0.5,0.65,0.76,0.52,0.73,0.7,0.75,0.76
227295,1,5,6,0.1666666666666666,0.68,0.77,0.39,0.47,0.57,0.76,0.49,0.29,0.7,0.75,0.19
17507,1,5,6,0.1666666666666666,0.68,0.77,0.42,0.6,0.67,0.76,0.62,0.36,0.63,0.75,0.18
242763,1,5,6,0.1666666666666666,0.66,0.77,0.71,0.6,0.72,0.76,0.68,0.78,0.71,0.75,0.81
21912,1,5,6,0.1666666666666666,0.63,0.77,0.31,0.5,0.64,0.76,0.52,0.35,0.28,0.75,0.23
28543,1,5,6,0.1666666666666666,0.7,0.77,0.61,0.5,0.58,0.76,0.56,0.61,0.76,0.75,0.37
188484,1,5,6,0.1666666666666666,0.73,0.77,0.43,0.57,0.59,0.76,0.55,0.62,0.79,0.75,0.47
28820,1,5,6,0.1666666666666666,0.68,0.77,0.61,0.55,0.62,0.76,0.55,0.62,0.53,0.75,0.62
186762,2,10,12,0.1666666666666666,0.76,0.77,0.58,0.58,0.77,0.76,0.63,0.61,0.54,0.75,0.65
202564,2,10,12,0.1666666666666666,0.65,0.77,0.47,0.52,0.64,0.77,0.53,0.53,0.41,0.75,0.13
83496,2,10,12,0.1666666666666666,0.73,0.77,0.48,0.51,0.61,0.76,0.54,0.5,0.76,0.75,0.72
44925,1,5,6,0.1666666666666666,0.0,0.77,0.54,0.62,0.73,0.76,0.52,0.36,0.73,0.75,0.27
170255,1,5,6,0.1666666666666666,0.6,0.77,0.68,0.54,0.72,0.76,0.6,0.69,0.73,0.75,0.74
40110,1,5,6,0.1666666666666666,0.74,0.77,0.63,0.51,0.61,0.76,0.59,0.7,0.72,0.75,0.8
26664,1,5,6,0.1666666666666666,0.64,0.77,0.3,0.58,0.46,0.76,0.49,0.39,0.23,0.75,0.44
243966,1,5,6,0.1666666666666666,0.73,0.77,0.54,0.55,0.65,0.76,0.64,0.55,0.71,0.75,0.68
17596,1,5,6,0.1666666666666666,0.67,0.77,0.59,0.52,0.73,0.76,0.57,0.38,0.39,0.75,0.29
96019,1,5,6,0.1666666666666666,0.75,0.77,0.4,0.61,0.6,0.76,0.59,0.33,0.54,0.75,0.16
66485,1,5,6,0.1666666666666666,0.73,0.77,0.38,0.56,0.61,0.76,0.58,0.36,0.3,0.75,0.31
223953,2,9,11,0.1818181818181818,0.71,0.77,0.61,0.55,0.5,0.76,0.61,0.53,0.74,0.75,0.85
245157,2,9,11,0.1818181818181818,0.68,0.77,0.59,0.64,0.54,0.76,0.63,0.53,0.87,0.75,0.45
268030,5,21,26,0.1923076923076923,0.76,0.77,0.6,0.61,0.57,0.76,0.56,0.52,0.75,0.75,0.37
87938,7,29,36,0.1944444444444444,0.7,0.77,0.57,0.56,0.61,0.76,0.46,0.49,0.58,0.75,0.69
269378,2,8,10,0.2,0.7,0.77,0.53,0.57,0.78,0.76,0.61,0.54,0.84,0.75,0.63
219353,1,4,5,0.2,0.68,0.77,0.62,0.5,0.53,0.76,0.57,0.55,0.66,0.75,0.73
9381,2,8,10,0.2,0.67,0.77,0.55,0.53,0.61,0.76,0.54,0.55,0.61,0.75,0.21
222488,2,8,10,0.2,0.66,0.77,0.62,0.49,0.55,0.76,0.5,0.63,0.32,0.75,0.59
241239,1,4,5,0.2,0.72,0.77,0.5,0.51,0.53,0.76,0.6,0.41,0.69,0.75,0.37
91425,1,4,5,0.2,0.66,0.77,0.66,0.54,0.71,0.76,0.49,0.64,0.72,0.75,0.79
57267,1,4,5,0.2,0.7,0.77,0.67,0.54,0.62,0.76,0.46,0.71,0.69,0.75,0.75
270666,1,4,5,0.2,0.61,0.77,0.65,0.5,0.68,0.76,0.54,0.57,0.59,0.75,0.49
99,1,4,5,0.2,0.73,0.77,0.67,0.65,0.75,0.76,0.66,0.65,0.7,0.75,0.77
