,count,Random,MostPop,UserKNN,MF,PMF,BPR,NMF,WMF,PF,NeuMF,VAECF
1214,0.0119609694680516,14,0,136,4,0,0,1,81,91,0,356
534,0.0118035882908404,13,0,98,286,781,0,13,122,251,0,202
1087,0.0118035882908404,13,0,36,1,0,0,0,10,0,0,2
160,0.0118035882908404,13,0,69,15,0,0,0,234,228,0,0
1817,0.0118035882908404,14,0,132,30,95,0,0,193,176,0,198
822,0.0118035882908404,8,0,104,4,0,0,0,49,2,0,0
177,0.0116462071136292,12,0,51,17,29,0,0,23,0,0,91
330,0.0116462071136292,17,0,143,241,230,0,2,137,0,0,0
517,0.0116462071136292,10,0,47,2,0,0,0,26,39,0,0
1382,0.0116462071136292,16,0,83,262,560,0,15,81,323,0,34
1121,0.0116462071136292,7,0,43,5,2,0,0,35,0,0,84
751,0.011488825936418,19,0,86,6,0,0,1,67,0,0,0
1480,0.011488825936418,9,0,57,14,0,0,0,90,242,0,0
1077,0.011488825936418,10,0,99,64,5,0,0,28,24,0,316
908,0.011488825936418,15,0,46,3,29,0,0,19,0,0,6
1944,0.0113314447592068,15,0,177,20,0,0,0,163,4,0,190
1069,0.0113314447592068,19,0,81,12,0,0,0,88,190,0,87
2035,0.0113314447592068,18,0,141,4,5,0,0,80,258,0,46
394,0.0113314447592068,14,0,57,8,0,0,0,79,231,0,14
900,0.0111740635819955,14,0,53,19,0,0,8,95,0,0,0
670,0.0111740635819955,18,0,34,18,0,0,0,32,0,0,0
376,0.0111740635819955,13,0,37,4,0,0,0,49,75,0,42
599,0.0111740635819955,12,0,69,19,9,0,0,42,208,0,227
745,0.0111740635819955,11,0,81,2,7,0,0,32,128,0,0
573,0.0111740635819955,17,0,59,21,8,0,0,79,278,0,0
1946,0.0110166824047843,10,0,168,10,0,0,0,89,0,0,93
662,0.0110166824047843,11,0,66,7,0,0,0,99,139,0,0
3011,0.0110166824047843,16,0,81,11,0,0,0,30,51,0,14
1351,0.0110166824047843,13,0,34,9,0,0,0,12,0,0,0
428,0.0110166824047843,12,0,129,4,0,0,0,41,158,0,100
763,0.0108593012275731,16,0,110,163,3917,0,1,170,224,0,0
1131,0.0108593012275731,10,0,90,4,0,0,0,57,0,0,65
581,0.0108593012275731,15,0,56,466,29,0,4,189,175,0,0
882,0.0108593012275731,12,0,63,84,0,0,0,112,1,0,120
1262,0.0108593012275731,12,0,93,2,1,0,0,26,94,0,159
425,0.0108593012275731,17,0,52,42,0,0,0,39,210,0,157
1529,0.0108593012275731,16,0,60,232,1219,0,2,117,258,0,94
320,0.0108593012275731,18,0,50,5,0,0,0,66,65,0,0
356,0.0107019200503619,7,0,115,0,52,0,0,89,152,0,293
2648,0.0107019200503619,12,0,40,84,5,0,0,38,0,0,0
403,0.0105445388731507,15,0,40,15,0,0,0,24,168,0,69
1689,0.0105445388731507,8,0,38,9,0,0,0,15,172,0,103
2215,0.0105445388731507,11,0,55,6,0,0,0,22,92,0,0
1115,0.0103871576959395,18,0,42,19,0,0,0,42,0,0,0
152,0.0103871576959395,20,0,76,68,0,0,0,57,0,0,0
580,0.0103871576959395,16,0,69,3,0,0,0,49,171,0,0
571,0.0103871576959395,14,0,49,50,108,0,0,47,192,0,1
453,0.0103871576959395,14,0,90,49,1,0,0,154,68,0,326
426,0.0102297765187283,12,0,45,77,1,0,3,93,132,0,0
1442,0.0102297765187283,13,0,102,16,42,0,0,82,183,0,88
1685,0.0102297765187283,22,0,50,37,0,0,0,69,231,0,0
470,0.0102297765187283,13,0,52,19,93,0,0,25,0,0,0
843,0.0102297765187283,16,0,52,7,6,0,0,34,240,0,0
336,0.0102297765187283,10,0,51,0,0,0,0,18,210,0,0
654,0.0100723953415171,13,0,46,2,18,0,0,22,0,0,65
903,0.0100723953415171,14,0,47,69,7,0,0,58,184,0,28
865,0.0100723953415171,20,0,61,287,2441,0,17,144,0,0,0
3753,0.0100723953415171,7,0,89,7,0,0,0,71,169,0,47
236,0.0099150141643059,4,0,49,11,0,0,0,43,238,0,7
1277,0.0099150141643059,11,0,44,3,0,0,0,17,0,0,5
1470,0.0099150141643059,8,0,39,4,99,0,0,37,0,0,0
1996,0.0099150141643059,7,0,51,9,34,0,0,48,91,0,1
1363,0.0099150141643059,10,0,32,1,1,0,0,25,54,0,9
1766,0.0099150141643059,20,0,42,43,4,0,0,39,99,0,14
802,0.0097576329870947,15,0,31,4,0,0,0,15,0,0,0
427,0.0097576329870947,19,0,23,3,0,0,0,4,0,0,0
874,0.0097576329870947,12,0,49,62,0,0,0,51,207,0,52
824,0.0097576329870947,12,0,52,20,0,0,4,17,0,0,0
645,0.0097576329870947,14,0,39,40,0,0,2,49,26,0,19
337,0.0097576329870947,13,0,22,0,29,0,1,3,0,0,6
1196,0.0096002518098835,15,0,46,0,22,0,0,13,38,0,1
1816,0.0096002518098835,13,0,51,4,0,0,0,34,111,0,0
1622,0.0096002518098835,15,0,111,7,7,0,0,35,128,0,116
379,0.0096002518098835,12,0,94,5,0,0,0,60,0,0,85
307,0.0096002518098835,8,0,45,24,0,0,0,39,186,0,0
2211,0.0096002518098835,12,0,82,15,19,0,0,113,0,0,70
1215,0.0096002518098835,12,0,119,3,71,0,0,27,142,0,95
1422,0.0096002518098835,7,0,29,9,0,0,0,14,125,0,0
17,0.0096002518098835,13,0,31,3,1,0,6,14,0,0,0
2054,0.0096002518098835,12,0,26,1,0,0,0,29,106,0,1
2531,0.0094428706326723,13,0,41,5,8,0,0,12,97,0,0
1539,0.0094428706326723,12,0,41,1,0,0,0,32,89,0,0
604,0.0094428706326723,12,0,42,39,0,0,0,25,0,0,0
1122,0.0094428706326723,17,0,30,116,5,0,1,15,0,0,0
2465,0.0094428706326723,12,0,38,7,0,0,1,11,0,0,3
2342,0.0092854894554611,17,0,21,0,8,0,0,6,126,0,0
342,0.0092854894554611,17,0,37,49,0,0,0,32,0,0,0
239,0.0092854894554611,16,0,34,4,11,0,0,13,0,0,0
872,0.0092854894554611,15,0,33,6,7,0,0,30,21,0,9
1001,0.0092854894554611,16,0,69,17,0,0,0,54,178,0,161
14,0.0092854894554611,19,0,40,5,0,0,0,46,0,0,0
987,0.0092854894554611,16,0,55,9,6,0,0,40,121,0,2
434,0.0092854894554611,12,0,43,15,4,0,1,69,175,0,0
839,0.0092854894554611,16,0,47,289,3,0,18,115,35,0,22
2690,0.0091281082782499,14,0,60,1,0,0,0,8,2,0,0
1933,0.0091281082782499,12,0,32,4,0,0,0,19,53,0,90
696,0.0091281082782499,17,0,33,66,0,0,0,33,0,0,0
317,0.0091281082782499,14,0,34,0,0,0,0,50,0,0,0
1430,0.0091281082782499,17,0,51,0,0,0,0,11,149,0,223
2477,0.0089707271010387,12,0,25,2,0,0,0,8,0,0,0
593,0.0089707271010387,17,0,39,42,0,0,0,43,0,0,7
381,0.0089707271010387,10,0,47,7,0,0,39,49,0,0,1
708,0.0089707271010387,11,0,89,0,0,0,0,68,5,0,336
657,0.0089707271010387,16,0,34,0,0,0,0,8,0,0,59
1258,0.0088133459238275,18,0,52,24,0,0,0,50,0,0,1
