,num_female,num_male,num_other,num_unknown,num_total,ratio_female,male_female_difference,new_male_female_difference_Random,new_male_female_difference_MostPop,new_male_female_difference_UserKNN,new_male_female_difference_MF,new_male_female_difference_PMF,new_male_female_difference_BPR,new_male_female_difference_NMF,new_male_female_difference_WMF,new_male_female_difference_PF,new_male_female_difference_NeuMF,new_male_female_difference_VAECF
206058,5,0,0,0,5,1.0,-1.0,0.19,0.09,-0.08,0.19,0.48,0.07,0.19,0.36,0.39,0.08,0.36
60211,5,0,0,0,5,1.0,-1.0,-0.09,0.09,-0.25,0.17,0.15,0.07,0.17,-0.27,-0.21,0.08,-0.16
221681,5,0,0,0,5,1.0,-1.0,0.14,0.09,0.0,0.26,0.23,0.07,0.21,0.21,0.2,0.08,0.12
221510,11,0,0,0,11,1.0,-1.0,0.09,0.09,-0.51,0.28,-0.01,0.07,0.1,-0.45,-0.5,0.08,-0.9
210599,9,0,0,0,9,1.0,-1.0,0.03,0.09,-0.45,0.17,0.33,0.07,0.09,-0.19,0.0,0.08,-0.05
210791,5,0,0,0,5,1.0,-1.0,-0.16,0.09,-0.28,0.15,-0.14,0.07,0.0,-0.08,0.52,0.08,0.11
211961,9,0,0,0,9,1.0,-1.0,-0.17,0.09,-0.2,0.25,0.24,0.07,0.19,0.04,0.02,0.08,0.03
53265,8,0,0,0,8,1.0,-1.0,-0.13,0.09,-0.42,0.19,0.29,0.07,0.06,-0.2,-0.04,0.08,-0.09
214348,5,0,0,0,5,1.0,-1.0,-0.09,0.09,-0.55,0.27,0.1,0.07,0.18,-0.68,-0.23,0.08,-0.94
219955,5,0,0,0,5,1.0,-1.0,0.04,0.09,-0.52,0.28,0.31,0.07,0.26,-0.19,-0.44,0.08,-0.54
217444,5,0,0,0,5,1.0,-1.0,-0.05,0.09,-0.35,0.31,0.28,0.07,0.23,-0.26,0.08,0.08,-0.08
53664,11,0,0,0,11,1.0,-1.0,0.09,0.09,-0.8,0.32,0.15,0.07,0.16,-0.76,-0.26,0.08,-0.95
9574,6,0,0,0,6,1.0,-1.0,0.15,0.09,-0.24,0.24,-0.11,0.07,0.08,-0.18,-0.34,0.08,0.14
51663,5,0,0,0,5,1.0,-1.0,-0.03,0.09,-0.66,0.21,0.16,0.07,0.38,-0.48,-0.09,0.08,-0.95
96679,8,0,0,0,8,1.0,-1.0,0.11,0.09,-0.19,0.12,0.0,0.07,0.18,-0.16,-0.12,0.08,-0.19
50823,16,0,0,0,16,1.0,-1.0,0.28,0.09,-0.44,0.18,-0.03,0.07,0.29,-0.43,-0.11,0.08,-0.89
203392,5,0,0,0,5,1.0,-1.0,0.0,0.09,-0.18,0.16,0.11,0.07,0.15,-0.37,0.0,0.08,0.14
257703,5,0,0,0,5,1.0,-1.0,-0.04,0.09,-0.2,0.21,-0.11,0.07,0.27,-0.28,0.01,0.08,-0.32
266457,5,0,0,0,5,1.0,-1.0,-0.04,0.09,-0.04,0.32,0.11,0.07,0.1,0.01,-0.14,0.08,-0.03
226976,5,0,0,0,5,1.0,-1.0,0.13,0.09,-0.58,0.28,0.25,0.07,0.2,-0.88,-0.4,0.08,-0.94
192733,5,0,0,0,5,1.0,-1.0,0.18,0.09,-0.28,0.26,-0.02,0.07,0.18,-0.29,-0.04,0.08,-0.38
11070,5,0,0,0,5,1.0,-1.0,-0.02,0.09,-0.16,0.12,0.04,0.07,0.09,-0.2,-0.1,0.08,-0.12
193610,5,0,0,0,5,1.0,-1.0,-0.19,0.09,-0.15,0.12,0.33,0.07,0.3,-0.2,-0.12,0.08,-0.6
45911,7,0,0,0,7,1.0,-1.0,-0.07,0.09,-0.35,0.26,0.26,0.09,0.24,-0.05,0.0,0.08,0.06
74493,8,0,0,0,8,1.0,-1.0,0.03,0.09,-0.64,0.2,0.15,0.07,0.23,-0.78,-0.22,0.08,-0.95
46293,11,0,0,0,11,1.0,-1.0,-0.15,0.09,-0.6,0.3,-0.01,0.07,0.23,-0.61,-0.09,0.08,-0.89
73837,7,0,0,0,7,1.0,-1.0,0.03,0.09,-0.08,0.33,0.09,0.07,0.08,-0.19,0.06,0.08,-0.15
