,num_USA,num_rest,num_total,ratio_USA,new_ratio_USA_Random,new_ratio_USA_MostPop,new_ratio_USA_UserKNN,new_ratio_USA_MF,new_ratio_USA_PMF,new_ratio_USA_BPR,new_ratio_USA_NMF,new_ratio_USA_WMF,new_ratio_USA_PF,new_ratio_USA_NeuMF,new_ratio_USA_VAECF
249150,4,3,7,0.5714285714285714,0.72,0.77,0.76,0.49,0.62,0.76,0.53,0.77,0.73,0.75,0.87
167722,4,3,7,0.5714285714285714,0.72,0.77,0.61,0.51,0.59,0.76,0.55,0.68,0.62,0.75,0.79
194600,43,32,75,0.5733333333333334,0.67,0.77,0.75,0.57,0.69,0.76,0.57,0.75,0.72,0.75,0.67
167800,19,14,33,0.5757575757575758,0.67,0.77,0.73,0.56,0.71,0.76,0.62,0.78,0.69,0.75,0.95
276050,19,14,33,0.5757575757575758,0.61,0.77,0.7,0.54,0.63,0.76,0.58,0.71,0.68,0.75,0.75
65877,11,8,19,0.5789473684210527,0.64,0.77,0.73,0.47,0.68,0.76,0.53,0.8,0.72,0.75,0.84
8019,11,8,19,0.5789473684210527,0.77,0.77,0.74,0.63,0.57,0.76,0.53,0.71,0.71,0.75,0.73
142623,11,8,19,0.5789473684210527,0.66,0.77,0.68,0.57,0.66,0.76,0.51,0.65,0.75,0.75,0.56
21484,11,8,19,0.5789473684210527,0.7,0.77,0.68,0.63,0.52,0.76,0.68,0.71,0.73,0.75,0.7
113030,11,8,19,0.5789473684210527,0.66,0.77,0.69,0.64,0.5,0.76,0.58,0.61,0.75,0.75,0.57
190831,11,8,19,0.5789473684210527,0.66,0.77,0.77,0.53,0.76,0.76,0.55,0.77,0.65,0.75,0.64
44845,11,8,19,0.5789473684210527,0.73,0.77,0.73,0.54,0.6,0.76,0.59,0.73,0.83,0.75,0.77
78834,40,29,69,0.5797101449275363,0.74,0.77,0.72,0.63,0.55,0.76,0.55,0.65,0.7,0.75,0.64
105054,18,13,31,0.5806451612903226,0.73,0.77,0.69,0.54,0.59,0.76,0.59,0.68,0.65,0.75,0.78
8066,18,13,31,0.5806451612903226,0.68,0.77,0.71,0.58,0.73,0.76,0.51,0.66,0.75,0.75,0.69
136491,25,18,43,0.5813953488372093,0.66,0.77,0.66,0.55,0.5,0.76,0.52,0.63,0.69,0.75,0.63
122429,32,23,55,0.5818181818181818,0.63,0.77,0.7,0.56,0.66,0.76,0.44,0.6,0.69,0.75,0.69
178201,14,10,24,0.5833333333333334,0.66,0.77,0.8,0.69,0.64,0.76,0.66,0.66,0.84,0.75,0.78
172119,7,5,12,0.5833333333333334,0.0,0.77,0.71,0.48,0.58,0.76,0.57,0.7,0.78,0.75,0.79
105536,7,5,12,0.5833333333333334,0.68,0.77,0.67,0.49,0.46,0.76,0.55,0.72,0.73,0.75,0.57
142680,7,5,12,0.5833333333333334,0.57,0.77,0.67,0.59,0.77,0.76,0.59,0.68,0.73,0.75,0.74
208415,7,5,12,0.5833333333333334,0.69,0.77,0.72,0.59,0.54,0.76,0.45,0.71,0.8,0.75,0.78
